GRADUATION_YEAR;SCORE_NEM;GRADE_PERCENTILE;SCORE_RANKING;AVERAGE_MATH_LANG;GENDER;HOW_MANY_WORK;HOW_MANY_STUDY;INCOME_PERCENTILE;MOTHER_EDUCATION;FATHER_EDUCATION;PREVIOUS_ADMISSION;SCHOOL_TYPE;SCHOOL_DEPENDENCY;WORK;RURAL
2017;538;5;559;506.5;2;1;1;9;10;7;1;0;1;0;1
2020;419;10;420;414.0;2;1;1;6;11;11;0;0;1;0;1
2017;549;7;548;588.0;2;1;1;6;9;9;0;0;1;0;1
2017;544;6;550;0.0;1;1;1;5;4;4;0;0;0;0;1
2017;764;1;796;693.0;2;1;2;5;8;8;1;0;0;0;1
2018;430;7;430;599.0;1;1;1;5;8;7;0;0;1;1;0
2017;613;3;704;607.5;1;1;1;2;9;11;1;0;1;0;0
2020;506;6;506;502.5;1;1;1;4;6;6;0;0;1;0;0
2017;421;8;431;0.0;2;1;1;1;7;7;0;0;1;0;1
2020;626;1;702;524.0;1;1;1;1;7;7;0;0;1;0;0
2018;359;10;371;473.0;1;1;2;2;9;7;1;1;1;0;0
2017;414;6;425;541.5;1;1;2;4;9;10;1;0;0;0;0
2017;598;3;616;596.0;2;1;1;7;9;7;0;0;1;0;1
2018;421;10;427;538.5;1;1;1;4;8;8;0;0;1;0;1
2018;549;7;582;569.0;1;1;1;9;12;11;1;0;1;0;1
2017;717;2;736;624.0;2;2;1;7;5;5;1;0;0;0;0
2019;377;6;377;449.5;2;1;1;2;9;7;0;0;1;0;1
2020;573;2;619;445.0;1;1;1;2;7;7;0;0;1;1;1
2017;689;3;704;688.0;2;1;1;5;9;7;1;0;1;0;0
2017;613;7;610;0.0;1;1;1;1;7;11;0;0;1;0;0
2017;515;7;515;604.5;1;2;1;9;10;11;1;1;1;0;0
2020;504;9;504;442.0;2;1;1;2;8;7;0;1;1;0;0
2018;613;2;648;629.5;1;1;2;7;7;7;1;0;0;0;0
2020;460;7;462;0.0;1;2;1;7;7;7;0;0;0;0;1
2018;345;9;359;515.5;2;1;2;4;9;7;0;0;1;0;0
2017;492;8;495;384.0;2;1;1;4;4;4;0;1;1;0;0
2017;667;2;713;657.5;1;3;1;7;11;11;1;0;1;0;1
2017;479;8;482;670.0;1;1;1;7;11;11;1;0;1;0;0
2017;538;8;538;0.0;2;1;1;6;7;5;0;0;0;0;1
2017;495;2;508;0.0;1;2;2;4;6;6;1;0;1;0;0
2017;792;1;831;608.0;2;1;1;1;7;7;1;0;0;0;1
2017;506;7;507;553.5;1;2;1;9;10;10;1;0;1;0;0
2018;391;10;399;522.5;1;1;1;3;10;7;1;0;1;0;0
2018;423;6;430;385.5;2;1;1;1;7;12;0;0;1;0;0
2017;433;9;441;568.0;2;1;1;5;10;10;0;0;1;0;0
2019;689;2;716;576.0;2;2;1;6;10;7;0;1;1;0;0
2018;315;8;315;540.0;1;1;2;3;10;10;1;0;1;0;1
2017;501;9;502;610.5;2;1;1;4;10;8;1;0;0;0;0
2017;695;1;723;634.0;2;2;2;9;11;11;1;0;1;0;1
2017;483;8;486;589.0;1;1;1;2;8;5;1;0;1;0;1
2018;410;10;416;442.0;2;1;2;9;9;10;1;0;1;0;1
2019;567;3;635;487.5;2;4;2;1;11;9;0;1;0;1;0
2018;485;3;495;0.0;2;1;1;1;5;7;1;1;1;0;0
2018;544;6;544;545.0;2;1;1;3;10;10;0;0;1;0;1
2017;593;1;661;485.5;2;1;1;3;5;7;1;1;1;0;0
2017;624;2;666;516.5;2;1;1;1;7;10;1;0;1;0;1
2020;626;4;659;456.0;2;1;1;4;7;10;0;0;0;0;0
2019;506;8;506;443.0;2;1;1;4;6;6;0;0;0;0;0
2020;535;7;539;417.0;2;1;1;5;7;10;0;0;0;0;0
2019;501;7;502;429.0;1;2;1;5;7;7;0;0;0;0;0
2018;647;1;659;361.0;1;2;1;6;7;7;0;0;1;0;0
2019;479;6;480;404.5;1;1;1;4;5;10;0;0;0;0;1
2019;523;5;526;0.0;2;2;1;1;10;7;0;0;1;0;1
2017;506;7;507;517.0;2;1;2;6;9;8;1;0;1;0;0
2018;495;8;495;385.0;1;1;1;2;4;4;0;0;1;0;0
2017;614;4;642;507.5;2;2;2;7;10;10;1;1;1;0;1
2017;472;8;476;482.5;1;1;1;5;7;6;0;0;1;0;0
2017;786;1;850;0.0;1;1;1;1;5;5;0;0;0;0;0
2018;410;9;417;376.0;1;1;1;1;7;7;0;0;0;0;0
2018;391;9;399;0.0;2;1;1;1;8;8;0;0;0;1;1
2017;544;5;563;0.0;1;1;2;5;9;7;1;0;1;0;0
2017;513;6;516;522.0;2;1;1;7;7;11;1;0;1;0;1
2017;490;6;490;396.0;2;1;1;2;7;7;0;0;1;1;1
2018;323;9;335;426.5;1;1;1;7;7;10;0;0;0;0;0
2020;605;2;629;244.0;1;1;1;3;6;6;0;0;0;0;1
2017;631;2;667;713.0;1;2;2;9;8;12;1;0;1;1;0
2017;458;10;464;406.5;2;1;1;7;7;7;0;1;1;0;1
2019;407;6;411;362.0;2;2;2;2;2;4;0;0;1;0;0
2017;481;7;500;447.5;1;1;1;5;6;10;1;1;1;0;0
2018;695;1;767;575.5;1;1;1;3;5;7;0;0;0;0;0
2018;456;8;459;429.0;2;1;2;1;4;4;0;0;1;0;0
2020;456;9;456;383.5;1;2;1;4;7;7;0;0;0;0;0
2020;546;5;552;367.5;1;2;1;7;9;7;0;1;1;0;0
2018;546;3;647;0.0;2;1;1;1;5;9;0;1;0;0;0
2019;453;7;453;559.0;1;2;1;7;11;7;0;0;1;1;1
2020;513;8;513;0.0;1;3;1;7;5;5;0;0;0;1;0
2020;453;6;456;0.0;1;1;1;3;7;7;0;0;0;0;0
2018;483;7;486;397.0;2;1;1;1;4;7;0;0;0;0;0
2018;546;4;571;418.5;2;1;2;4;5;5;1;1;1;0;0
2019;439;9;442;434.5;2;1;2;1;6;6;0;1;0;0;0
2020;684;2;727;374.0;1;1;2;8;11;10;0;0;0;0;1
2020;562;2;585;487.0;2;1;1;2;6;6;0;0;1;0;1
2019;368;8;374;472.0;1;1;2;3;7;8;0;0;1;0;1
2020;577;3;591;347.5;1;1;2;1;7;10;0;0;1;0;1
2020;481;7;481;363.5;2;1;1;1;5;5;0;1;0;0;1
2018;566;10;565;620.0;1;1;1;4;5;11;0;0;1;1;0
2020;476;6;482;513.0;1;1;2;2;4;4;0;0;0;1;1
2018;706;2;728;590.0;2;1;1;3;5;6;1;0;1;0;0
2018;584;1;681;563.0;2;2;1;2;7;7;0;0;1;0;0
2018;624;4;641;0.0;2;1;1;1;7;7;0;0;0;0;1
2019;613;5;618;589.0;1;1;1;3;7;7;0;0;1;1;1
2020;430;7;430;391.0;1;1;2;1;9;1;0;0;1;0;1
2018;513;9;513;492.5;2;1;1;2;8;11;0;0;1;0;0
2018;689;3;730;0.0;2;1;1;1;8;11;1;0;1;0;0
2020;451;9;451;0.0;1;1;1;3;5;5;0;1;0;0;0
2020;456;7;456;469.0;1;1;1;5;6;11;0;0;1;0;1
2020;398;10;398;0.0;1;2;1;9;7;7;0;0;0;0;0
2019;430;8;433;0.0;1;1;1;1;7;7;0;0;0;0;0
2020;403;9;404;553.0;1;1;1;5;5;7;0;0;1;0;1
2019;550;3;572;454.5;2;1;1;3;7;7;0;1;1;0;1
2018;544;9;544;541.0;1;1;2;7;7;7;0;0;1;0;0
2019;515;3;535;447.5;2;1;2;3;10;5;0;1;1;0;1
2018;523;6;523;0.0;2;1;1;3;7;11;1;0;1;1;1
2018;567;5;566;583.5;2;1;1;3;9;9;1;1;1;0;1
2020;460;6;463;477.0;2;1;1;4;7;7;0;0;0;0;0
2019;578;4;581;0.0;2;1;1;5;10;11;0;1;0;0;0
2020;446;8;446;330.5;1;2;1;6;7;7;0;1;0;0;0
2018;501;10;502;687.5;1;1;1;10;9;11;1;0;1;0;1
2019;517;7;518;527.0;1;1;1;10;11;10;0;0;1;0;0
2018;396;7;405;0.0;2;1;1;3;10;11;1;0;1;0;0
2019;410;10;413;513.0;2;2;1;10;9;9;1;0;1;0;0
2018;663;1;684;666.0;1;1;1;1;8;10;0;0;0;0;1
2018;467;7;470;0.0;1;1;1;1;9;7;0;0;1;0;0
2019;479;10;480;505.5;1;1;1;3;11;11;0;0;1;0;0
2019;368;9;369;519.5;1;1;1;1;11;11;0;0;0;0;0
2019;538;3;567;468.0;2;1;1;6;4;4;0;0;0;0;1
2019;456;10;457;620.0;1;1;1;9;7;7;0;0;1;0;1
2018;544;2;558;601.0;2;1;1;8;10;10;0;0;1;0;1
2020;646;3;676;542.5;1;1;1;4;7;11;0;0;1;0;0
2018;437;9;440;0.0;2;1;1;8;11;11;0;0;1;0;0
2020;710;1;765;513.0;2;2;1;1;6;6;0;0;0;0;0
2018;749;3;777;653.5;2;2;2;10;12;12;1;0;1;0;1
2019;380;10;385;467.0;1;1;1;2;7;7;0;0;1;0;0
2019;523;7;523;379.0;1;1;2;4;11;10;0;0;1;0;1
2019;439;8;442;0.0;1;1;2;3;7;7;0;1;1;1;0
2020;513;6;513;502.5;1;1;1;7;7;7;0;0;0;0;1
2018;592;3;656;690.5;2;1;1;3;4;4;1;0;1;0;0
2019;417;6;420;526.0;1;1;1;1;8;8;0;1;0;0;0
2019;699;4;712;703.5;1;1;3;9;11;11;1;0;1;0;0
2020;490;10;490;327.5;2;1;2;10;10;12;0;0;1;0;1
2019;689;1;752;584.0;2;1;1;7;10;11;0;0;1;0;1
2019;771;1;850;558.5;1;1;1;2;9;9;0;0;1;0;0
2019;556;1;567;543.0;2;1;1;1;10;11;0;0;1;0;0
2020;710;5;723;656.0;2;2;1;10;11;11;0;0;1;0;1
2019;513;4;513;584.0;1;1;1;4;4;12;0;0;1;0;1
2020;743;1;784;626.5;2;1;1;3;7;7;0;0;1;0;0
2020;582;4;630;402.0;1;2;2;7;10;7;0;1;0;0;0
2020;517;7;529;0.0;2;1;2;7;10;11;0;0;1;0;1
2020;624;4;636;669.5;2;2;2;9;11;10;0;0;1;0;1
2020;674;2;703;381.0;2;1;1;2;7;7;0;0;1;0;1
2020;807;1;845;599.0;1;1;1;9;11;11;0;0;1;0;0
2020;417;9;417;364.5;1;1;1;1;11;4;0;1;1;0;1
2019;546;3;668;369.0;2;1;1;8;7;8;0;1;0;0;1
2020;646;5;743;559.5;2;1;2;1;10;11;0;0;1;0;1
2019;654;1;765;0.0;2;1;1;1;9;7;0;0;1;0;0
2020;587;4;608;490.0;2;1;1;1;10;7;0;0;0;0;0
2020;710;3;734;534.0;2;1;3;3;10;7;0;0;0;0;0
2020;603;5;608;353.0;1;1;3;4;10;11;0;0;1;0;0
2020;721;1;794;541.5;1;1;1;6;11;7;0;0;1;0;0
2020;699;4;732;622.0;1;1;1;7;11;7;0;0;1;0;0
2020;555;6;555;599.0;1;1;1;5;9;11;0;0;1;0;1
2020;573;4;606;0.0;2;1;1;1;5;7;0;0;1;0;1
2020;641;1;684;0.0;2;1;1;3;7;7;0;0;0;0;0
2020;803;1;850;711.0;2;1;1;1;11;11;0;0;0;0;0
2020;807;1;850;671.5;2;1;1;4;10;11;0;0;1;0;1
2020;646;3;664;475.0;1;1;1;1;9;10;0;0;1;0;0
2020;674;4;700;502.5;1;1;1;2;10;11;0;0;0;0;0
2020;732;1;792;558.5;2;1;1;6;10;10;0;0;1;0;1
2020;771;1;850;647.5;1;1;1;2;10;10;0;0;1;0;1
2020;581;5;602;505.0;2;1;1;1;8;10;0;0;1;0;0
2020;684;4;705;592.0;1;1;1;7;9;11;0;0;1;0;1
2020;609;2;636;619.5;1;1;1;4;10;7;0;0;1;0;1
2020;646;1;759;477.0;2;2;1;6;7;7;0;0;1;0;1
2020;631;7;634;0.0;1;1;1;6;11;7;0;0;1;0;1
2020;517;8;517;512.0;1;1;3;7;11;7;0;0;1;0;0
2020;559;8;559;573.5;1;1;3;7;11;7;0;0;1;0;0
2020;667;1;721;600.5;1;1;1;5;10;8;0;0;1;0;1
2020;717;2;753;614.0;1;2;1;9;10;11;0;0;1;0;1
2020;781;1;832;614.5;2;1;1;6;8;5;0;0;1;0;0
2020;387;10;387;520.5;1;3;1;7;9;5;0;0;1;0;0
2020;414;10;415;401.5;1;1;1;9;7;9;0;0;1;0;0
2020;555;5;563;433.0;1;1;1;1;10;9;0;0;0;0;0
2020;656;3;686;538.5;2;1;1;8;10;10;0;0;1;0;0
2020;717;1;776;564.5;2;1;1;8;9;5;0;0;1;0;1
2020;678;2;712;597.5;2;1;1;2;10;10;0;0;1;0;0
2020;433;8;433;524.5;2;1;1;2;11;9;0;0;1;0;1
2020;706;1;850;435.5;1;4;1;1;5;5;0;0;1;0;1
2020;667;6;679;567.0;1;2;2;5;10;8;0;0;1;0;1
2020;796;1;834;712.5;2;2;1;10;12;12;0;0;1;0;0
2020;738;1;781;589.0;2;1;1;7;10;8;0;0;1;0;0
2020;559;8;559;431.5;1;1;1;1;7;7;0;0;1;0;0
2020;641;3;683;559.5;2;1;1;3;7;9;0;0;1;0;0
2020;570;7;575;562.5;1;1;1;6;10;12;0;0;1;0;0
2020;625;2;737;642.5;1;1;1;3;9;9;0;1;1;0;0
2020;490;8;490;470.0;2;1;2;7;8;10;0;0;1;0;1
2020;549;6;549;576.5;1;1;1;7;7;7;0;0;1;0;0
2017;534;5;534;606.5;2;1;1;1;9;10;1;0;1;0;1
2017;603;2;627;0.0;2;1;2;1;9;9;0;0;1;0;0
2020;541;2;552;425.5;2;1;1;3;11;7;0;0;1;0;1
2016;517;5;559;525.5;2;1;1;1;7;9;1;0;1;0;0
2016;559;4;584;0.0;2;2;1;3;10;10;1;0;1;1;1
2016;727;2;739;0.0;2;1;1;1;8;11;1;0;1;0;0
2017;544;6;545;424.5;1;1;1;1;7;11;0;0;1;0;1
2016;504;5;505;547.5;1;1;1;1;7;7;1;1;1;0;1
2017;674;2;730;482.5;2;2;1;8;7;7;1;1;0;1;0
2016;506;7;507;573.0;2;1;1;2;7;7;1;0;1;0;1
2018;544;4;569;0.0;2;1;1;3;8;7;0;0;1;0;0
2018;467;9;470;478.0;1;1;1;7;7;7;0;0;0;0;0
2017;460;8;466;464.5;1;1;1;8;10;9;1;0;0;0;0
2016;721;2;787;0.0;2;2;3;10;11;11;1;0;1;0;0
2020;552;5;570;0.0;2;2;3;5;7;7;0;0;0;1;1
2020;527;3;540;373.5;2;1;1;2;5;7;0;0;0;0;0
2016;717;3;736;656.5;2;1;2;5;9;7;1;0;1;0;0
2016;451;8;458;608.0;1;1;1;4;10;7;1;1;1;0;0
2017;453;4;481;469.0;1;1;1;1;4;5;1;0;1;0;1
2019;569;3;613;406.5;2;1;2;2;7;4;0;0;1;0;1
2019;472;9;474;410.5;2;1;1;3;10;10;0;0;1;0;1
2018;368;7;374;390.0;2;1;1;1;6;6;0;0;1;1;1
2017;414;8;425;360.5;2;1;1;1;4;6;1;0;0;0;0
2020;423;8;423;0.0;2;1;1;6;5;1;0;1;0;0;1
2020;433;9;435;497.0;1;1;1;2;10;5;0;0;0;0;1
2017;699;3;705;657.5;1;1;1;3;8;7;1;0;1;0;0
2018;439;8;445;0.0;1;1;1;1;11;8;0;1;0;0;1
2017;679;2;743;690.5;1;1;1;2;10;10;1;1;1;0;0
2018;492;8;494;0.0;1;1;1;1;6;5;0;1;0;0;0
2020;481;6;481;0.0;2;1;1;2;5;9;0;1;0;0;1
2017;435;7;435;438.0;2;2;1;1;10;7;0;1;1;0;0
2016;663;3;683;633.5;2;1;1;4;11;7;1;0;1;0;1
2017;435;9;435;342.5;1;1;1;1;7;5;0;1;1;0;1
2018;446;4;449;379.5;1;2;1;10;11;9;0;0;1;0;1
2020;599;6;624;395.5;2;1;1;2;5;7;0;1;1;0;1
2017;544;7;544;0.0;1;2;1;9;11;11;1;0;1;0;0
2017;635;1;650;504.5;1;1;1;8;6;6;1;0;1;0;1
2018;559;6;568;444.0;2;1;1;1;7;11;0;0;1;0;1
2019;508;5;521;0.0;1;1;1;5;7;9;0;1;1;1;0
2019;439;9;442;0.0;2;1;1;1;5;6;0;1;0;0;0
2017;567;3;596;0.0;1;1;1;9;9;9;0;1;0;1;0
2017;581;4;589;430.5;2;1;1;7;7;7;1;0;1;0;0
2018;566;5;565;471.0;2;1;1;3;4;4;0;0;1;0;0
2017;504;7;505;440.0;1;1;1;6;8;7;1;1;1;1;0
2018;620;7;651;342.5;2;1;1;1;7;7;0;0;1;0;0
2018;495;3;500;0.0;1;1;1;3;7;7;1;0;1;0;1
2020;541;5;552;0.0;2;1;1;1;7;7;0;0;1;0;1
2020;485;6;485;342.5;2;1;1;3;9;9;0;1;1;0;1
2018;378;10;387;379.0;1;1;1;2;9;9;1;1;0;0;0
2018;423;6;423;379.5;2;1;1;7;7;10;0;1;0;0;1
2020;508;7;508;0.0;1;2;4;8;5;5;0;1;1;0;0
2019;479;7;480;486.0;2;1;1;6;11;7;0;0;1;0;1
2017;764;1;850;538.5;2;1;1;4;11;11;0;0;1;0;0
2017;483;10;486;509.5;2;1;1;4;11;11;0;0;1;0;0
2018;444;9;448;0.0;1;3;1;6;7;7;1;0;0;0;1
2017;641;2;673;0.0;2;1;1;1;6;6;0;0;0;1;0
2017;593;4;630;0.0;2;2;1;1;6;6;0;1;1;0;1
2020;492;6;492;369.5;2;1;1;1;7;7;0;0;0;0;1
2017;786;2;827;681.5;1;1;2;7;11;7;1;0;1;0;1
2017;631;2;657;0.0;2;1;2;3;5;5;0;1;0;0;0
2017;469;4;474;503.0;2;1;1;1;5;9;1;1;0;0;0
2017;689;1;736;646.5;2;1;1;7;11;11;1;0;1;0;0
2017;556;5;574;540.5;1;1;1;8;8;8;1;1;1;0;0
2020;492;9;492;0.0;2;1;1;1;7;7;0;1;1;0;1
2018;667;4;672;559.5;2;1;1;9;4;4;0;0;1;0;0
2017;624;4;625;0.0;1;1;1;1;4;4;1;0;1;0;1
2020;382;9;382;0.0;1;1;1;8;5;5;0;1;0;0;0
2017;525;6;525;413.0;2;1;1;1;5;5;0;1;1;0;1
2019;469;5;477;329.0;2;1;2;2;10;7;1;0;0;0;0
2019;492;3;493;430.5;2;1;1;3;7;11;0;0;1;0;1
2018;449;7;458;439.0;1;1;1;6;7;10;0;0;1;0;0
2017;437;8;445;532.5;2;1;3;5;7;7;1;0;1;0;0
2018;428;10;434;510.0;1;1;1;7;5;7;0;1;1;0;1
2017;667;2;689;654.5;2;2;1;8;11;12;1;0;1;0;0
2020;497;8;497;373.5;1;1;2;7;7;9;0;1;0;0;0
2017;613;8;610;681.5;1;1;1;1;11;11;1;0;1;0;1
2020;552;2;599;378.5;2;1;2;6;9;7;0;0;1;0;1
2017;613;6;610;0.0;2;2;1;10;11;12;1;0;1;0;1
2017;667;2;737;611.0;1;1;1;4;10;11;1;0;1;0;0
2019;343;10;350;409.0;1;1;1;6;10;7;0;1;0;0;1
2020;506;3;512;0.0;2;1;1;3;7;7;0;0;1;0;1
2018;378;10;387;444.0;1;2;1;2;9;5;0;1;1;1;1
2017;546;5;551;604.0;1;1;1;3;7;5;1;1;1;0;0
2017;679;2;743;544.5;2;1;1;1;9;10;1;1;1;0;0
2019;458;8;460;418.0;1;2;1;2;5;5;0;1;1;0;1
2018;483;5;485;444.0;2;1;1;1;4;6;0;0;0;0;1
2018;412;9;412;0.0;2;1;2;1;4;4;0;1;1;0;1
2017;604;4;633;363.5;2;1;1;2;9;7;1;1;0;1;0
2018;458;10;462;0.0;1;2;1;8;7;5;0;1;1;0;1
2017;535;5;536;461.5;2;1;1;1;6;5;0;1;0;0;0
2017;635;5;640;0.0;2;1;2;6;10;10;1;0;1;0;1
2017;781;1;809;740.0;1;1;1;7;11;8;1;0;1;0;0
2017;437;7;447;578.0;1;1;1;5;4;7;0;0;1;1;1
2017;481;8;484;529.0;1;2;2;8;7;5;0;1;1;1;1
2020;577;2;577;0.0;2;1;1;2;5;7;0;0;0;0;0
2017;460;7;466;562.0;1;1;3;5;8;7;0;0;0;0;1
2017;368;8;386;511.5;2;1;1;1;5;7;0;0;1;0;0
2017;589;4;632;480.5;2;3;1;7;7;9;0;1;1;0;1
2017;609;4;605;464.5;1;1;1;1;7;7;0;0;1;0;1
2019;529;7;540;0.0;1;1;1;2;11;7;0;1;0;0;0
2017;403;9;407;494.5;1;1;1;6;11;7;0;0;1;0;0
2018;582;1;644;400.0;2;1;1;2;10;5;0;1;1;0;1
2020;323;10;323;0.0;1;2;2;8;7;7;0;0;1;1;1
2018;481;6;492;530.0;1;1;1;9;7;7;1;1;0;1;0
2017;506;6;515;474.5;1;2;1;3;11;6;1;0;1;1;1
2018;523;5;524;402.5;1;1;1;7;8;11;0;0;1;0;1
2017;721;1;747;749.0;1;1;1;5;7;7;1;0;1;0;1
2017;555;3;554;545.5;1;1;1;3;7;5;1;0;0;0;0
2017;592;8;589;542.5;2;1;1;5;8;8;1;0;1;0;0
2018;490;5;491;551.0;2;1;3;3;10;11;1;0;1;0;1
2017;517;6;517;481.0;1;1;1;8;5;6;0;0;1;0;1
2020;626;1;708;0.0;2;1;1;1;6;6;0;0;1;0;0
2017;485;7;489;494.5;2;1;1;2;9;7;0;1;1;0;1
2017;382;9;392;0.0;2;1;1;3;9;7;0;1;1;0;1
2017;517;7;517;492.5;1;1;2;4;11;8;0;0;1;0;0
2018;561;4;608;470.0;1;1;1;3;6;6;0;1;1;0;0
2017;538;8;538;0.0;2;1;1;2;5;11;1;0;1;0;0
2017;652;1;713;0.0;1;1;1;9;10;12;0;0;1;0;0
2018;364;10;374;513.5;1;1;1;4;8;8;0;0;1;0;1
2017;523;6;575;438.0;2;1;1;1;8;5;1;0;1;0;1
2020;515;7;515;347.0;1;2;2;6;9;11;0;1;1;1;0
2017;412;9;416;0.0;2;1;1;1;7;7;0;1;0;0;0
2019;485;4;487;0.0;1;1;1;8;7;7;0;1;0;0;1
2017;391;9;404;433.0;1;2;1;9;7;7;0;0;1;0;0
2018;472;8;474;537.0;1;1;1;1;9;1;1;0;1;1;0
2017;405;10;417;537.0;2;1;1;4;7;7;0;1;1;0;0
2017;517;8;517;337.0;2;1;1;8;4;7;1;0;1;0;1
2017;449;10;455;524.0;1;2;2;7;12;11;1;0;1;0;1
2017;641;3;662;536.0;1;1;1;8;5;5;0;0;1;0;1
2017;555;6;554;612.5;1;1;1;3;11;11;1;0;1;0;0
2018;721;2;792;624.5;1;2;1;9;11;11;1;0;1;0;1
2017;631;2;692;0.0;1;1;1;1;5;7;1;1;1;0;1
2017;663;1;750;499.5;2;1;1;4;9;7;1;0;1;0;1
2018;620;3;642;0.0;1;1;1;1;7;12;0;0;1;0;0
2017;483;10;486;568.5;1;1;2;8;10;7;1;0;1;0;0
2018;517;3;529;537.5;2;1;2;8;11;11;0;0;1;0;0
2019;582;4;593;0.0;1;1;2;1;4;4;0;1;0;1;0
2017;689;2;734;0.0;2;1;2;10;7;7;1;0;1;0;1
2019;605;2;630;0.0;2;1;1;1;4;7;0;0;1;0;0
2018;515;7;522;437.0;1;1;1;8;9;6;1;1;1;1;1
2017;538;6;538;516.5;1;1;1;4;7;7;1;0;1;0;0
2018;332;9;345;424.0;2;1;1;1;9;8;0;1;1;0;0
2020;521;6;521;454.5;2;1;2;1;5;7;0;0;1;0;1
2020;481;6;481;470.0;2;1;2;2;7;8;0;1;0;0;1
2017;519;7;519;466.5;2;2;1;2;5;8;0;1;0;0;0
2018;523;10;523;615.0;1;1;2;9;12;11;1;0;1;0;1
2018;658;1;757;479.5;2;1;1;8;7;6;0;0;1;0;1
2020;435;9;435;406.0;2;1;1;2;7;5;0;1;1;0;1
2017;685;1;768;462.5;1;1;1;10;7;7;1;1;1;1;0
2018;501;9;502;475.0;2;1;1;2;7;5;0;0;1;0;1
2017;721;1;776;631.0;1;1;1;3;9;7;0;0;1;0;1
2017;771;2;806;722.5;2;1;1;3;11;11;1;0;1;0;1
2017;433;9;441;531.5;2;2;1;6;10;7;0;0;0;1;1
2017;435;7;443;272.0;2;1;1;1;5;7;1;1;1;0;1
2019;368;8;374;522.5;1;1;1;3;6;4;0;0;1;0;1
2018;405;9;413;536.0;1;1;1;3;6;6;0;1;1;0;1
2018;620;5;627;554.5;2;2;1;8;7;9;0;0;1;0;0
2017;646;2;658;0.0;1;1;1;8;9;7;1;0;1;0;0
2017;549;5;552;516.5;1;1;1;6;5;5;1;0;0;1;0
2018;549;6;556;457.5;2;1;1;3;7;7;0;0;1;1;1
2019;481;7;482;464.5;1;1;1;8;7;7;0;1;0;0;1
2020;421;10;421;429.5;1;1;1;8;7;7;0;0;0;0;0
2017;635;3;654;0.0;1;1;1;2;5;5;1;0;0;0;0
2020;492;6;492;0.0;1;1;1;2;7;5;0;1;1;0;1
2017;609;3;635;576.0;2;1;1;6;11;7;1;0;1;0;0
2018;359;10;370;388.5;2;1;1;1;4;9;1;1;1;0;0
2018;508;4;557;470.5;2;1;1;1;5;5;1;1;1;0;1
2017;604;3;703;461.0;2;1;1;2;5;7;1;1;1;0;0
2017;467;10;472;491.0;1;1;1;2;10;10;0;0;1;0;1
2017;674;1;709;0.0;1;1;1;8;5;9;1;1;0;0;0
2018;727;3;749;0.0;2;2;1;1;11;12;0;0;1;0;1
2020;508;4;529;276.0;1;2;1;2;7;7;0;1;1;0;0
2017;555;7;600;484.0;2;1;1;1;7;9;1;0;1;0;1
2019;743;1;850;504.5;2;1;1;1;7;7;0;0;1;0;1
2017;523;6;562;393.5;1;1;1;2;7;7;0;0;1;0;0
2019;371;10;376;457.5;1;2;1;4;7;7;0;1;0;0;0
2017;684;3;709;669.0;2;1;2;4;10;7;1;0;1;0;1
2020;471;7;482;0.0;2;1;1;1;1;4;0;0;0;0;0
2018;604;2;638;0.0;2;1;1;1;7;5;1;1;1;0;0
2017;598;8;595;573.0;1;3;2;10;12;12;1;0;1;0;0
2018;535;3;538;429.5;2;1;1;1;8;7;0;0;0;0;0
2017;556;7;584;353.0;2;1;1;5;9;5;0;1;1;0;0
2018;743;2;768;676.0;2;1;1;6;7;7;1;0;1;0;0
2017;567;2;623;460.0;2;3;1;3;9;7;0;1;1;0;1
2019;387;9;391;400.0;1;2;1;9;11;10;0;0;1;0;0
2018;412;9;419;369.0;2;1;1;1;5;7;0;1;1;0;1
2018;398;10;406;0.0;1;1;1;9;11;7;1;0;1;0;1
2020;611;3;647;512.5;2;2;1;4;6;7;0;0;0;0;0
2017;528;9;528;385.0;2;1;1;4;8;7;1;0;0;0;0
2019;426;10;429;0.0;1;3;1;7;5;10;0;0;0;0;0
2019;517;3;546;550.0;1;2;1;4;12;11;0;0;1;0;0
2018;467;9;470;0.0;1;3;2;6;10;10;1;0;1;1;0
2020;541;4;561;0.0;2;1;1;4;7;9;0;0;1;0;1
2020;492;10;492;413.5;2;1;1;2;9;5;0;1;1;0;0
2018;414;9;418;342.5;1;1;1;4;11;11;1;0;1;0;0
2018;487;6;488;416.5;2;1;1;1;7;7;0;0;0;0;0
2018;581;4;586;381.0;2;1;1;4;7;10;0;0;0;0;0
2018;641;1;684;592.5;2;1;1;8;11;11;0;0;1;0;0
2018;717;2;735;575.5;2;1;1;10;9;8;0;0;1;1;0
2018;663;3;668;645.5;1;1;2;5;7;7;1;0;1;0;1
2020;508;7;508;0.0;2;1;1;4;11;7;0;1;0;0;0
2018;624;3;687;492.5;2;4;1;3;9;8;1;0;1;0;1
2018;405;9;413;467.0;2;1;1;8;7;9;0;1;1;0;0
2018;559;4;573;600.5;1;1;1;1;7;7;0;0;1;0;0
2019;380;10;380;404.0;1;2;2;9;12;11;0;0;1;0;0
2013;610;2;664;425.0;1;2;2;4;11;10;0;1;1;1;1
2018;707;1;759;569.0;2;2;1;8;5;5;0;1;0;1;0
2020;467;9;467;330.0;1;1;1;10;9;10;0;0;1;0;0
