GRADUATION_YEAR;SCORE_NEM;GRADE_PERCENTILE;SCORE_RANKING;AVERAGE_MATH_LANG;GENDER;HOW_MANY_WORK;HOW_MANY_STUDY;INCOME_PERCENTILE;MOTHER_EDUCATION;FATHER_EDUCATION;PREVIOUS_ADMISSION;SCHOOL_TYPE;SCHOOL_DEPENDENCY;WORK;RURAL
1990;354;6;368;497.5;1;1;1;6;7;7;1;0;1;1;1
2020;541;4;597;311.5;1;1;1;1;7;7;0;0;0;0;1
2020;441;3;441;0.0;1;1;1;1;7;7;0;0;1;0;1
2020;521;5;526;334.0;2;1;1;1;5;1;0;0;0;0;0
1986;490;7;490;0.0;2;1;2;6;5;4;1;0;0;0;0
1984;341;10;341;374.5;2;1;2;1;1;10;0;0;0;0;1
2020;775;1;850;502.5;2;1;1;3;5;1;0;1;0;0;1
2020;497;3;497;228.5;1;1;1;1;7;7;0;1;1;0;0
2020;487;5;497;0.0;2;1;3;3;5;5;0;0;1;0;0
1992;460;6;460;0.0;2;1;1;1;4;7;0;0;0;0;0
2020;407;8;407;0.0;2;1;1;1;1;1;0;0;1;0;0
1984;506;4;516;0.0;2;1;1;7;6;8;0;0;0;0;1
1993;555;8;555;668.5;1;1;4;4;9;11;0;0;1;0;1
2020;521;8;521;459.5;2;2;1;5;5;5;0;0;1;1;1
1985;635;7;631;0.0;2;1;3;10;11;11;1;0;1;1;0
1984;706;4;709;0.0;2;3;1;10;6;11;1;0;1;1;1
1997;368;10;368;422.0;2;1;1;1;4;5;0;0;0;0;0
2005;711;1;776;489.0;1;1;1;3;6;8;0;1;1;1;1
2020;796;1;833;409.5;1;1;2;1;7;7;0;0;1;0;0
2020;658;3;754;0.0;2;1;1;1;5;7;0;0;0;0;1
2020;594;4;595;401.0;2;2;2;7;4;7;0;0;0;1;0
1976;538;6;540;583.0;1;1;1;1;6;6;1;0;0;0;1
1992;539;2;549;532.0;1;1;1;8;6;5;1;1;1;1;1
2020;541;1;602;0.0;1;1;1;1;1;1;0;0;1;0;1
2020;464;7;464;0.0;2;1;1;1;7;7;0;0;0;0;1
2020;552;4;552;0.0;1;1;1;1;7;7;0;0;0;0;1
2020;764;1;844;511.5;2;1;1;4;5;5;0;0;0;0;0
2020;785;1;850;402.0;2;1;4;2;1;4;0;0;0;0;0
