GRADUATION_YEAR;SCORE_NEM;AVERAGE_MATH_LANG;GENDER;HOW_MANY_WORK;HOW_MANY_STUDY;INCOME_PERCENTILE;MOTHER_EDUCATION;FATHER_EDUCATION;PREVIOUS_ADMISSION;SCHOOL_TYPE;SCHOOL_DEPENDENCY;WORK;RURAL
2017;548;406.0;2;1;1;7;4;5;0;0;1;0;0
2018;472;0.0;1;1;1;1;4;5;0;0;1;0;0
2016;460;413.0;2;1;1;1;4;5;1;0;1;1;0
2016;555;593.0;2;1;1;1;5;7;1;0;0;0;0
2016;492;0.0;2;1;3;1;5;7;1;1;1;0;0
2016;610;0.0;2;1;1;2;7;9;1;1;1;0;1
2016;504;547.5;2;2;1;6;7;8;1;1;1;0;0
2016;398;508.0;2;1;1;2;7;7;1;0;0;0;0
2017;405;0.0;1;1;1;1;8;5;0;1;1;0;1
2016;490;383.0;1;1;1;1;9;7;1;0;1;0;0
2016;603;0.0;2;1;1;1;11;10;0;0;1;0;0
2020;541;378.0;2;1;1;2;4;4;0;0;1;0;1
2017;368;344.5;1;2;1;1;6;6;0;0;1;1;0
2016;485;387.5;1;1;1;5;4;1;1;1;0;0;1
2016;521;0.0;2;1;1;5;7;7;0;0;1;0;1
2020;626;273.0;2;1;1;1;7;7;0;0;0;0;0
2016;490;477.5;2;1;1;3;7;7;1;0;1;0;1
2016;446;0.0;1;1;1;6;5;5;1;1;1;1;0
2017;361;430.5;1;2;1;8;10;11;0;0;1;0;1
2020;548;0.0;2;1;1;1;5;5;0;0;1;0;1
2020;453;396.0;1;1;1;1;7;7;0;0;0;0;1
2019;495;364.0;1;2;1;7;9;7;0;0;1;0;0
2016;561;496.0;2;2;1;7;7;11;1;1;0;0;0
2018;657;532.5;2;1;2;4;5;4;1;1;1;0;0
2017;549;487.0;2;1;1;5;8;4;1;0;1;0;0
2016;624;0.0;2;1;1;1;9;7;1;0;0;0;1
2019;552;0.0;1;1;1;4;5;7;0;0;0;1;0
2019;414;385.5;1;2;1;6;7;7;0;0;1;1;1
2016;410;549.5;1;2;1;5;8;8;0;0;1;1;0
2016;592;0.0;2;2;1;1;7;5;0;0;1;1;0
2019;460;415.5;1;1;1;10;9;11;0;0;0;1;0
2017;534;0.0;2;1;1;1;7;7;1;0;0;0;0
2017;352;412.0;2;1;1;1;5;4;1;0;1;0;0
2019;743;439.0;1;1;1;2;5;6;0;0;1;0;0
2018;592;451.0;1;1;2;2;5;7;1;0;1;0;0
2020;423;337.0;1;1;1;3;5;7;0;0;1;0;1
2020;497;0.0;2;1;1;1;5;5;0;1;1;0;0
2017;476;0.0;2;1;1;2;6;7;0;0;1;0;1
2019;521;367.5;1;1;1;5;9;7;0;0;0;0;0
2017;449;0.0;2;1;1;6;5;7;1;0;1;0;0
2017;775;454.5;2;1;1;3;5;4;1;1;0;0;0
2017;728;684.5;2;1;1;3;10;7;0;1;1;0;0
2017;577;643.5;1;1;3;5;7;7;1;0;1;0;0
2018;571;0.0;1;2;1;8;9;5;1;1;1;1;1
2020;377;0.0;2;2;1;8;2;2;0;0;0;1;1
2020;407;0.0;1;1;1;3;5;4;0;0;1;1;1
2020;448;528.5;1;1;1;8;9;11;0;0;1;0;0
2016;439;489.0;2;1;1;8;9;9;0;1;1;0;1
2017;495;564.5;1;1;1;2;5;7;1;0;1;1;1
2018;331;0.0;2;1;1;1;5;7;0;0;1;0;1
2017;490;507.5;2;1;1;1;7;9;1;0;1;0;0
2017;657;499.5;2;1;1;3;9;7;1;1;1;0;1
2020;515;0.0;2;1;1;3;4;4;0;0;1;0;0
2016;582;576.5;2;2;1;5;5;5;1;1;1;1;0
2017;824;684.5;2;1;1;7;7;10;0;0;1;0;0
2016;469;0.0;1;1;1;1;7;5;0;0;0;1;1
2018;389;433.0;1;1;1;6;5;5;0;1;0;1;0
2016;407;521.5;2;1;1;3;10;7;0;0;1;0;0
2019;423;0.0;2;1;1;1;5;7;0;1;0;0;1
2019;631;0.0;2;1;1;1;7;7;0;1;1;0;1
2020;474;393.5;2;1;1;2;5;9;0;1;1;0;1
2018;641;0.0;2;1;1;4;7;7;0;0;0;0;0
2017;538;491.0;2;1;3;6;6;6;1;0;0;0;1
2017;541;456.0;2;1;2;3;6;5;1;0;1;0;0
2017;515;518.0;2;1;1;4;7;8;1;1;0;0;0
2017;722;434.0;1;2;1;3;9;5;1;1;1;1;1
2019;338;399.5;1;1;1;4;7;7;0;0;0;0;1
2018;674;0.0;1;1;1;1;7;11;0;0;1;0;0
2017;700;569.0;2;1;1;2;8;7;1;1;1;0;0
2016;743;466.5;1;2;1;7;7;8;0;0;1;1;0
2020;315;398.5;1;1;1;1;7;7;0;0;0;0;0
2017;561;452.5;1;1;1;3;7;7;0;1;0;0;0
2017;398;585.0;2;1;1;6;7;4;0;0;1;1;0
2015;456;0.0;1;2;1;9;11;11;0;0;1;1;0
2016;508;575.0;2;1;1;2;11;9;1;1;0;0;0
2019;380;450.5;2;1;1;5;10;11;0;0;0;0;0
2017;449;527.0;1;1;1;10;10;8;1;0;1;0;0
2016;570;510.0;1;1;1;10;11;6;1;0;0;0;1
2016;538;470.0;2;1;1;5;7;7;1;0;0;1;1
2016;451;521.5;1;2;1;5;5;5;1;1;1;0;0
2020;515;0.0;1;1;1;8;5;5;0;0;0;1;0
2016;699;650.5;2;1;2;3;7;9;1;0;1;0;0
2016;497;0.0;1;1;1;2;7;7;1;1;1;0;0
2017;373;525.5;1;1;1;1;4;4;0;0;0;1;0
2016;663;0.0;2;1;1;6;7;11;1;0;0;1;1
2019;361;420.0;1;2;1;9;11;7;0;0;1;0;0
2016;577;576.0;2;1;1;1;7;7;1;0;0;0;1
2016;556;0.0;2;1;1;5;7;7;0;1;1;1;0
2018;535;372.0;2;1;1;1;7;11;1;1;1;0;0
2017;515;446.0;2;1;1;4;9;5;1;1;0;0;1
2016;646;422.0;2;2;2;5;9;11;1;0;0;0;1
2017;400;433.0;2;1;1;1;5;8;1;1;1;0;0
2017;472;0.0;2;1;2;1;10;7;1;0;1;1;0
2020;521;444.0;1;1;1;8;7;7;0;0;0;0;0
2018;616;429.5;1;1;1;3;7;7;0;0;0;0;0
2017;674;564.0;2;1;1;1;11;10;1;0;0;0;1
2017;631;0.0;1;1;1;4;11;7;1;0;0;1;1
2019;435;0.0;1;1;1;6;7;7;0;1;0;0;1
2018;497;0.0;2;1;1;1;7;7;0;1;1;0;0
2017;412;431.5;2;1;1;1;5;5;0;1;0;1;0
2017;642;437.0;2;1;1;1;7;7;0;1;0;1;0
2016;469;464.5;2;1;1;1;7;7;0;0;0;0;1
2017;624;0.0;2;3;1;1;7;7;0;0;1;0;0
2017;567;288.0;1;1;1;3;5;5;1;1;1;0;0
2020;403;324.5;1;2;1;3;9;5;0;0;0;0;0
2020;584;482.5;1;1;1;5;7;7;0;0;0;0;0
2017;451;501.5;2;2;1;3;9;5;1;1;1;0;0
2020;405;0.0;2;1;1;2;5;7;0;1;0;0;0
2017;534;503.5;1;2;1;7;11;9;0;0;0;0;1
2017;504;469.0;2;2;2;1;8;6;1;1;1;0;0
2020;258;452.5;2;1;1;3;5;5;0;0;0;0;0
2016;674;0.0;2;1;1;1;5;5;0;1;1;0;0
2017;421;490.0;2;3;2;1;7;7;1;0;1;0;1
2018;479;507.5;1;1;1;2;10;7;0;0;1;0;1
2018;550;331.0;2;1;1;8;5;5;0;1;0;1;1
2017;577;688.0;1;1;1;7;12;12;1;0;1;0;0
2016;690;460.0;2;1;1;2;7;7;0;0;0;0;0
2016;515;404.5;1;1;1;7;10;7;0;0;0;0;0
2018;414;434.5;2;1;2;1;7;7;0;0;1;0;1
2016;760;0.0;2;1;2;10;11;12;1;0;1;0;0
2016;549;467.5;1;4;1;10;8;8;0;0;1;1;0
2016;598;0.0;1;1;1;7;11;11;1;0;1;0;0
2016;549;583.0;2;1;1;3;11;11;0;0;1;0;0
2015;535;571.0;1;1;1;4;9;7;1;0;1;0;1
2016;599;573.0;1;1;1;6;12;12;1;0;1;1;1
2016;534;0.0;2;1;1;1;8;10;1;0;0;0;0
2016;663;514.5;2;1;2;1;7;7;1;0;0;0;0
2020;407;370.5;1;1;1;1;11;11;0;0;0;0;0
2016;620;651.5;1;1;1;4;8;8;1;0;1;0;1
2017;781;0.0;2;2;1;10;12;12;1;0;1;0;0
2016;603;630.0;1;1;2;3;8;7;1;0;0;0;0
2016;456;430.5;2;1;1;7;11;10;1;0;0;0;1
2020;469;434.0;2;1;1;2;5;7;0;0;0;1;0
2020;647;442.0;2;1;1;1;2;4;0;0;1;0;1
2019;423;356.5;1;3;1;8;5;7;0;0;0;1;1
2017;631;0.0;2;1;1;2;7;7;1;0;1;0;0
2019;414;363.5;1;1;1;3;5;7;0;0;1;0;0
2017;646;641.0;1;1;1;4;7;7;1;0;1;0;0
2016;460;0.0;1;1;1;9;11;7;1;0;0;0;0
2017;646;648.0;2;1;2;7;7;11;1;0;1;1;0
2017;483;0.0;2;1;1;5;11;10;0;0;1;0;0
2018;732;0.0;2;1;1;6;7;9;0;0;1;0;1
2019;472;449.5;1;2;1;8;10;10;0;0;1;0;1
2017;538;634.5;1;1;1;5;7;11;0;0;1;0;0
2017;410;569.0;2;1;1;6;11;11;1;0;1;0;0
2019;529;0.0;2;1;1;1;7;10;1;1;0;0;1
2017;581;596.5;2;1;1;1;7;7;1;0;1;0;1
2015;584;394.5;2;1;1;1;8;7;1;0;1;0;1
2018;566;0.0;1;2;2;1;8;7;0;0;1;0;0
2017;613;635.5;2;1;1;9;11;10;1;0;1;0;0
2017;760;0.0;1;1;1;2;11;11;1;0;1;0;0
2019;384;474.0;2;1;1;4;9;7;0;0;1;0;1
2017;646;0.0;1;1;1;1;10;10;1;0;0;0;0
2017;721;705.0;2;1;1;4;11;7;1;0;1;0;1
2018;398;337.5;1;2;1;9;7;7;0;0;1;0;0
2016;555;0.0;2;1;1;6;5;7;1;0;1;0;1
2016;394;0.0;1;2;1;8;10;2;1;1;0;0;1
2016;592;511.5;2;2;1;7;7;7;1;0;1;0;1
2018;504;420.0;2;2;1;1;7;7;1;1;0;0;1
2017;571;462.5;1;1;1;6;7;7;1;1;1;0;0
2017;517;467.5;2;1;1;1;5;7;0;0;0;0;1
2017;539;424.5;1;3;1;2;7;6;0;1;0;1;1
2017;460;348.0;2;1;1;1;5;5;1;0;0;0;0
2018;538;590.0;2;1;2;2;7;8;0;0;1;0;0
2019;521;342.5;1;1;1;5;7;7;0;0;1;1;1
2018;377;499.5;2;1;1;1;5;7;0;0;0;0;0
2017;523;0.0;1;1;1;4;7;7;1;0;1;0;1
2017;695;618.5;2;1;1;5;10;5;1;0;1;0;0
2018;559;465.5;2;1;1;2;5;7;1;0;0;0;0
2020;462;302.5;2;1;3;1;7;5;0;1;0;0;0
2020;460;432.0;1;1;1;2;10;7;0;0;0;0;0
2018;613;0.0;1;1;1;1;7;5;0;0;0;0;0
2020;487;0.0;2;1;1;1;5;5;0;0;0;0;1
2016;428;487.5;1;1;1;2;5;5;1;1;0;0;0
2020;476;0.0;2;1;1;8;7;5;0;0;1;0;1
2017;513;467.5;2;1;1;2;10;7;1;0;1;0;0
2012;555;598.0;2;1;1;2;9;7;1;0;1;0;0
2017;380;400.0;1;1;1;3;6;6;1;0;1;0;0
2017;610;454.5;2;1;1;1;5;5;0;1;0;0;0
2016;786;683.5;2;1;1;3;7;7;1;0;0;0;0
2016;555;0.0;2;1;1;5;8;9;1;0;1;1;1
2016;582;542.5;2;1;1;3;9;9;1;1;1;0;0
2020;423;0.0;2;1;2;7;5;7;0;0;0;0;0
2017;469;434.0;2;1;1;5;10;7;0;1;1;0;0
2020;616;0.0;2;1;2;7;7;7;0;0;0;0;0
2016;706;0.0;1;1;2;1;11;10;1;0;1;0;0
2017;437;0.0;1;1;1;5;8;7;1;0;1;0;0
2016;599;537.5;2;1;2;5;5;9;1;1;1;0;0
2018;391;371.5;2;1;1;3;10;7;0;0;1;0;0
2016;641;0.0;2;1;1;4;11;6;1;0;1;0;0
2018;389;356.5;2;2;1;8;9;10;0;1;1;0;0
2018;620;0.0;1;1;1;1;9;9;0;0;1;0;0
2017;508;426.0;2;2;1;4;5;5;0;1;0;1;1
2018;423;377.0;2;1;1;1;5;6;0;1;1;0;0
2016;674;733.0;2;1;4;2;8;6;1;0;0;0;0
2017;717;657.5;1;1;1;10;7;12;1;0;1;0;0
2017;458;0.0;1;1;1;1;5;7;0;1;1;0;0
2017;749;0.0;1;2;1;1;8;5;1;0;1;0;0
2018;378;424.0;1;1;1;1;5;11;0;1;1;0;0
2017;483;538.5;2;1;1;4;6;7;1;0;0;0;0
2017;492;447.5;2;1;2;3;7;5;1;1;1;0;0
2020;371;0.0;1;2;1;4;9;5;0;1;0;0;0
2019;396;0.0;2;1;1;1;2;7;0;0;1;0;1
2017;546;0.0;2;1;1;2;7;7;0;1;0;1;1
2017;566;616.5;2;1;1;5;11;7;1;0;1;1;0
2017;570;0.0;2;1;1;3;10;11;1;0;1;0;0
2016;423;474.5;1;1;1;2;11;7;0;0;1;1;1
2018;439;478.0;2;1;1;2;7;7;0;1;1;0;1
2017;481;596.0;1;2;1;3;7;7;0;1;0;0;1
2017;474;569.0;1;3;1;8;5;5;1;1;1;1;0
2017;620;662.5;1;1;1;1;11;7;1;0;0;0;0
2017;710;0.0;1;1;1;1;8;7;0;0;1;0;1
2017;727;0.0;2;1;2;4;10;11;1;0;1;0;1
2018;513;451.0;2;4;1;1;5;8;1;0;1;0;0
2017;620;467.5;2;1;1;3;10;10;0;0;1;0;0
2017;515;425.0;2;1;1;1;7;7;1;1;0;0;0
2020;437;400.0;2;1;1;3;5;7;0;0;1;0;0
2017;631;0.0;2;2;1;8;7;7;1;1;0;1;0
2017;604;449.5;1;1;1;3;2;5;1;1;1;0;0
2016;276;480.5;2;1;1;3;4;4;0;0;1;0;0
2019;467;626.5;1;1;1;5;11;7;0;0;0;0;0
2016;727;0.0;2;2;1;9;9;7;0;0;0;1;0
2016;561;470.0;2;1;1;4;7;7;1;1;0;0;1
2017;508;321.5;2;1;1;3;8;7;0;1;1;0;0
2017;481;395.0;2;1;2;1;10;7;1;1;1;0;0
2017;435;0.0;1;2;1;5;11;7;0;1;0;1;1
2018;341;335.5;1;1;1;2;7;5;0;0;0;1;0
2016;437;637.0;2;2;1;3;5;5;1;0;1;0;0
2016;689;650.0;1;1;1;5;6;7;1;0;0;0;0
2016;423;563.0;2;2;1;6;8;7;1;1;1;0;1
2016;523;0.0;2;1;1;2;7;7;1;0;1;0;0
2018;368;0.0;2;1;1;1;4;4;0;0;1;0;1
2017;382;368.0;2;1;1;3;5;5;0;1;0;1;1
2017;460;0.0;2;1;1;1;7;5;1;0;1;0;0
2020;460;411.5;1;1;1;4;5;5;0;0;1;0;0
2016;513;0.0;2;1;1;2;7;10;1;0;0;0;0
2016;519;405.0;2;1;1;3;5;5;1;1;1;0;0
2019;361;460.0;1;1;1;8;10;5;0;0;0;1;0
2016;556;347.5;1;1;1;4;7;8;1;1;1;0;1
2019;464;400.0;1;1;1;1;7;7;0;0;0;0;1
2018;548;544.5;1;1;1;5;7;7;0;0;1;0;1
2020;510;337.0;2;1;1;1;6;1;0;0;0;0;0
2016;400;0.0;1;1;1;2;9;8;1;1;0;1;1
2017;467;541.5;2;1;1;4;11;8;0;0;1;0;0
2016;483;614.0;2;4;1;2;7;7;1;0;0;0;0
2017;539;384.0;1;2;1;4;5;5;0;1;1;1;1
2019;711;430.5;2;1;1;5;5;4;0;0;1;0;1
2016;474;0.0;1;1;1;1;10;7;0;1;1;0;0
2016;678;646.5;2;1;1;6;10;8;1;0;1;0;0
2016;577;641.0;1;1;1;3;5;5;1;0;1;1;0
2016;414;518.5;1;2;2;4;9;5;1;0;1;1;0
2016;570;640.5;2;1;1;2;8;9;1;0;1;1;1
2017;675;513.0;1;2;1;6;7;7;0;0;1;1;0
2019;338;0.0;2;1;1;7;7;7;0;0;0;0;1
2017;403;429.0;2;1;2;3;8;11;1;0;1;0;0
2017;603;532.0;2;1;1;1;7;8;1;0;0;0;0
2017;400;402.0;1;1;1;5;9;7;1;0;1;0;0
2017;453;0.0;2;1;1;8;7;7;1;0;0;0;0
2017;605;0.0;2;3;1;8;6;5;0;0;1;0;0
2016;555;545.5;2;1;1;1;11;5;1;0;0;0;0
2016;506;447.5;2;1;2;4;6;6;1;0;1;0;0
2017;531;473.0;2;1;1;4;7;7;0;0;1;0;0
2019;476;561.5;1;1;1;3;4;11;0;0;1;0;1
2019;609;426.5;1;1;1;3;5;6;0;0;0;0;0
2016;550;460.0;1;1;1;2;5;7;1;1;1;1;1
2016;642;0.0;2;1;1;3;7;11;1;1;1;0;1
2017;515;431.5;2;1;1;3;7;7;0;1;1;0;0
2016;566;417.0;2;1;1;2;7;7;0;0;0;1;1
2016;550;523.5;2;1;1;3;7;8;1;1;1;0;0
2017;504;511.5;1;1;1;4;9;8;1;1;1;0;0
2020;573;269.0;2;1;1;6;7;6;0;0;1;0;0
2017;609;0.0;2;2;1;1;8;5;1;0;0;0;0
2018;430;322.5;2;1;1;1;7;5;0;0;1;0;0
2020;555;342.5;1;1;1;8;5;5;0;0;1;0;1
2019;517;377.5;2;1;1;5;9;7;0;0;0;0;0
2017;656;409.5;1;1;1;3;8;10;0;0;1;0;0
2018;807;631.5;2;1;1;1;9;9;0;1;0;0;1
2016;497;475.5;2;1;1;3;8;8;0;1;1;0;1
2018;460;365.0;1;1;1;4;9;7;0;0;1;1;1
2016;566;0.0;2;1;1;4;7;7;1;0;1;1;1
2020;464;0.0;1;1;1;7;5;5;0;0;0;0;0
2020;246;0.0;1;1;2;1;6;6;0;0;0;1;1
2019;497;0.0;2;1;1;3;5;5;0;1;0;0;0
2017;338;439.0;2;1;1;4;7;7;0;0;1;0;0
2018;405;344.0;1;1;1;1;7;5;0;1;1;0;1
2018;517;435.0;2;1;1;3;8;6;0;0;0;0;0
2017;490;565.0;2;1;2;5;4;4;1;0;1;0;1
2017;517;520.0;1;1;2;3;5;6;1;0;1;0;1
2016;389;501.5;1;1;1;2;7;7;1;1;1;0;1
2017;439;487.0;2;1;1;7;4;5;1;1;1;1;1
2017;534;464.5;1;2;1;3;6;6;1;0;0;1;1
2017;678;555.5;2;1;1;4;7;7;1;0;1;0;0
2019;613;395.5;1;1;1;1;5;1;1;0;1;0;0
2020;527;0.0;2;1;1;3;5;10;0;0;1;1;1
2017;624;0.0;2;2;1;1;5;5;0;0;1;1;1
2017;561;480.0;1;2;1;5;7;1;1;1;1;0;1
2018;501;508.0;2;1;1;2;7;7;0;0;1;0;1
2016;652;509.5;2;1;1;7;5;4;1;0;1;1;0
2017;380;418.5;2;2;1;8;9;10;0;0;1;1;0
2018;598;642.5;2;1;1;3;5;5;0;0;1;0;1
2020;641;478.0;2;1;2;2;7;7;0;0;0;0;0
2017;587;627.0;2;1;1;3;9;7;1;0;1;0;1
2017;728;602.5;2;1;1;1;9;7;1;1;1;0;1
2018;517;533.5;2;1;1;4;7;7;1;0;0;0;1
2018;472;0.0;2;1;1;1;9;11;0;0;1;0;0
2018;620;573.0;2;1;1;7;7;7;0;0;0;0;0
2020;590;0.0;1;1;1;6;7;7;0;0;0;0;0
2017;446;0.0;1;1;1;7;8;7;0;1;1;1;0
2017;577;537.0;2;1;1;4;8;10;0;0;0;0;0
2017;515;429.0;2;1;1;3;7;7;0;1;1;0;0
2017;727;562.0;2;1;2;4;10;7;1;0;1;0;0
2019;700;0.0;2;1;1;1;9;5;0;1;0;0;0
2018;417;0.0;2;2;1;1;9;5;0;1;0;0;1
2017;544;548.0;2;1;1;1;7;7;1;0;1;0;0
2018;561;513.0;2;1;1;9;9;9;0;1;1;0;1
2018;433;450.5;1;1;1;1;4;8;0;0;0;0;0
2018;577;510.0;2;1;1;4;10;9;1;0;0;1;0
2018;446;369.0;2;1;1;8;7;7;0;1;1;0;0
2020;414;0.0;2;1;1;1;4;4;0;0;1;1;1
2020;506;0.0;2;1;1;3;7;7;0;0;1;0;0
2017;534;475.5;1;1;1;8;6;7;0;0;1;0;0
2017;664;604.0;2;2;1;7;8;7;1;1;1;0;0
2017;439;594.0;2;1;1;3;5;8;1;1;1;0;1
2017;653;592.5;1;2;1;9;9;12;1;1;1;1;1
2018;435;475.0;1;1;2;1;10;7;0;1;1;0;1
2018;521;522.5;2;1;1;3;2;4;0;0;1;0;1
2017;504;413.5;2;1;1;1;5;7;0;1;0;1;1
2017;743;0.0;2;1;1;1;5;8;0;1;1;0;1
2018;435;537.5;2;1;1;3;7;1;0;1;0;0;0
2016;528;439.0;2;1;1;3;8;8;0;0;1;0;0
2016;550;509.5;2;1;2;1;9;7;0;1;0;0;1
2018;396;0.0;2;2;1;8;5;5;0;0;0;0;0
2020;345;0.0;2;2;1;1;5;7;0;0;1;0;1
2016;636;0.0;1;2;1;5;7;5;1;1;0;1;1
2016;587;0.0;2;1;1;1;7;11;1;0;1;0;0
2016;515;0.0;1;1;1;7;9;9;0;1;0;1;1
2018;663;478.0;1;1;1;4;10;11;1;0;0;0;1
2016;426;651.0;2;1;3;5;7;11;1;0;1;0;0
2016;462;477.0;1;1;1;3;5;9;0;1;1;1;1
2016;587;0.0;1;1;1;3;10;10;1;0;0;0;0
2016;449;459.0;2;1;2;10;7;7;1;0;1;0;0
2020;384;0.0;1;1;2;2;7;7;0;0;1;0;0
2018;683;469.0;1;1;1;5;4;4;0;0;0;1;0
2016;435;482.0;1;1;1;2;7;7;1;1;1;0;0
2018;398;446.0;2;1;1;2;9;7;0;0;1;0;0
2017;646;544.5;1;1;1;3;7;10;1;0;0;0;0
2018;451;422.0;1;1;1;7;9;9;0;1;1;0;0
2016;578;424.5;1;1;2;1;5;5;1;1;0;1;0
2018;541;0.0;1;1;1;6;5;5;0;0;0;0;0
2017;423;361.5;2;2;1;2;11;11;0;0;0;0;0
2019;410;396.0;1;2;1;1;7;5;0;0;0;0;1
2018;501;499.5;1;1;1;6;10;11;1;0;0;0;1
2017;592;487.0;2;1;1;2;5;5;0;0;0;0;1
2018;423;0.0;1;2;2;3;7;7;1;1;1;0;1
2020;620;434.5;1;1;1;1;6;6;0;0;0;0;0
2017;412;391.0;2;1;1;1;5;5;1;1;0;1;1
2017;792;543.0;2;1;1;1;10;7;1;1;0;0;1
2017;559;506.5;2;2;1;6;10;7;1;0;0;0;0
2017;456;462.0;2;1;1;3;7;5;1;0;0;1;0
2018;517;584.0;1;1;2;3;9;9;0;0;1;0;1
2017;732;671.0;2;1;2;7;10;10;1;0;1;0;1
2020;364;0.0;2;1;1;3;5;5;0;0;0;0;0
2016;490;0.0;2;1;1;4;7;7;1;0;1;0;1
2016;433;0.0;1;2;1;9;8;12;1;0;1;0;1
2017;472;606.5;1;1;1;3;11;8;0;0;1;1;1
2020;616;0.0;2;1;1;1;7;12;0;0;0;0;1
2018;437;455.0;1;1;1;8;6;6;0;0;0;0;0
2017;389;0.0;1;1;2;1;5;5;0;1;1;0;0
2016;481;512.0;2;1;1;2;5;5;1;1;1;1;1
2020;535;440.5;2;2;1;2;5;7;0;0;1;0;1
2016;467;546.5;1;1;1;3;7;7;1;0;1;0;1
2016;483;434.0;2;1;1;6;7;7;1;0;1;0;0
2016;423;486.5;1;1;1;2;8;8;0;1;1;1;0
2017;497;322.0;2;1;1;1;5;5;0;1;0;0;1
2019;414;487.0;2;1;1;1;9;7;0;0;1;0;0
2016;631;467.5;2;1;1;2;7;7;1;1;1;0;1
2016;492;511.5;2;2;1;1;5;7;1;1;1;0;0
2017;430;467.5;1;1;1;10;7;11;0;0;1;1;0
2016;567;415.5;2;1;1;6;6;5;1;1;1;1;0
2016;738;666.5;2;1;1;6;7;5;1;0;1;0;1
2016;414;552.5;2;1;1;3;7;7;1;0;1;0;0
2016;609;475.0;2;1;1;5;10;8;1;0;0;1;0
2020;460;402.0;1;1;1;7;7;7;0;0;0;0;1
2016;483;618.5;2;2;1;4;8;11;1;0;1;0;1
2016;446;374.5;1;1;1;4;8;7;1;1;1;0;0
2018;689;391.0;1;1;1;9;7;7;0;0;0;0;0
2016;517;499.5;1;1;1;5;8;10;1;0;1;0;1
2017;421;560.5;1;1;1;1;7;5;1;0;1;0;1
2017;472;474.0;1;1;1;3;5;5;0;0;0;0;1
2016;391;482.5;2;1;1;6;5;9;1;0;1;0;1
2020;541;482.5;1;3;1;6;7;7;0;0;1;0;1
2019;497;489.5;2;1;1;3;9;7;0;1;1;0;0
2016;589;454.5;1;1;1;4;7;4;1;1;1;0;0
2017;529;413.5;2;2;1;2;7;5;0;1;1;1;0
2020;464;0.0;1;1;1;3;7;7;0;0;0;0;1
2017;456;504.5;1;1;2;2;7;7;0;0;1;1;1
2016;492;482.5;1;1;1;2;7;7;1;1;1;0;1
2017;609;414.0;2;1;1;1;7;10;1;0;1;0;0
2020;453;0.0;1;1;1;5;7;7;0;0;1;0;0
2018;398;0.0;1;1;1;9;10;10;0;0;1;0;1
2018;490;535.5;1;1;1;7;5;5;0;0;1;1;0
2017;451;432.0;2;1;1;1;11;9;0;1;1;0;0
2017;446;517.5;1;1;1;9;9;7;0;1;1;0;0
2017;357;0.0;1;1;1;5;7;11;1;0;0;0;0
2016;479;424.5;2;1;1;2;5;7;0;0;1;1;0
2018;504;364.5;1;1;1;8;8;7;0;1;1;1;1
2019;519;0.0;2;1;1;1;5;5;0;1;1;0;1
2017;472;559.0;2;1;1;2;7;7;0;0;1;0;0
2019;476;0.0;1;1;1;4;8;5;0;0;1;1;0
2016;577;559.5;2;1;1;4;11;8;1;0;1;0;1
2016;515;507.5;2;2;1;9;10;7;1;1;1;0;0
2018;442;0.0;2;1;1;1;7;7;0;0;1;0;0
2016;423;480.5;1;2;1;4;7;7;0;1;1;0;1
2018;423;384.0;1;1;1;8;7;7;0;0;1;0;0
2018;555;522.0;1;1;1;7;8;11;0;0;1;0;1
2018;389;537.5;1;1;1;5;9;7;1;1;1;0;1
2020;492;0.0;2;2;1;3;7;7;0;0;0;0;0
2016;577;0.0;2;1;1;1;10;7;1;0;1;0;0
2018;366;464.5;1;2;1;1;9;7;0;1;1;1;0
2018;453;0.0;2;1;1;1;7;7;0;0;1;0;0
2017;771;0.0;1;2;1;2;7;7;0;1;1;0;1
2017;460;571.5;1;1;1;4;10;5;1;0;1;1;0
2017;663;515.0;2;1;1;1;7;7;0;0;1;0;1
2017;479;0.0;2;1;1;1;5;5;1;0;1;0;1
2017;587;601.5;2;1;1;8;11;7;0;0;1;0;1
2020;754;0.0;2;1;1;1;6;5;0;0;0;0;1
2018;458;319.5;2;1;1;8;7;7;0;1;1;1;0
2017;631;517.5;2;1;1;2;9;5;1;1;1;0;1
2018;578;0.0;2;1;1;2;5;7;1;1;1;0;0
2020;464;409.0;1;1;1;5;6;7;0;0;0;0;1
2017;368;427.0;2;1;1;8;9;10;0;0;1;0;1
2017;603;615.5;1;1;2;3;9;11;1;0;0;1;1
2020;453;439.0;2;3;2;1;4;4;0;0;1;0;1
2018;577;431.5;2;1;1;6;10;11;1;0;1;0;1
2018;474;427.5;2;1;1;1;7;5;0;1;1;1;0
2018;764;0.0;1;1;1;3;7;7;0;0;1;0;1
2017;460;493.5;1;1;1;3;7;10;1;0;1;0;1
2017;497;425.0;2;1;1;1;9;7;1;1;1;0;0
2020;711;411.5;1;2;1;2;5;5;0;0;0;1;1
2018;529;441.0;2;1;1;2;8;12;0;1;1;0;0
2017;531;0.0;1;1;1;1;7;1;0;0;1;0;1
2017;674;590.5;1;1;1;2;9;9;0;0;1;0;1
2020;584;319.5;2;1;1;1;7;8;0;0;0;0;1
2017;539;422.0;2;1;1;4;10;5;1;1;0;0;0
2020;605;508.0;1;1;1;1;7;7;0;0;1;0;0
2017;467;0.0;1;1;1;2;9;8;0;0;1;0;1
